artist_name,spotify_artist_id,artist_popularity,followers,main_genre,genres
&on&on,34nA3Lg0J6ZfdeCtyMi8AU,23,2259.0,,
2kPhilly,7jXyoAspWFb0THckTPS8zw,0,8.0,,
AI DJ,6B2wS0I4RCaCDeEly3TKz2,4,806.0,,
AIRGLO,6J9iVHqjoo2ZCXq4kVgm4Z,27,3113.0,,
AM Taxi,119jKFBTaap6l0jOA228YA,23,6818.0,,
AMÉMÉ,1txb9Qg5lJ3KATxPcIYyvO,38,12508.0,,
Aalto,3R4I6ck2wvI1GYzZCzWkJU,17,5418.0,deep progressive trance,
Acid Reign,4kekrf5PjYCFlInGnVYhl0,10,4806.0,,
Alex Kahn,4TZ17Ix8ymm9QlsjB4T2Cy,0,281.0,,
Ali Stroker,6LLkLNo5r8jnaLB3IVTU2M,20,288.0,,
Ally Barron,3Q4ziXLNeSVK2yKtb8y9G5,29,13652.0,,
AloVibe,10zS1l6BNyZOaBtXIL7gv1,0,1.0,,
Alonestar,1kwi1Q7X4jPTkHTgayxKhS,49,7054.0,,
Aly Ryan,5mNeTzDooOzKaMD0yxajVf,24,3042.0,,
American Beauty Commentary,5TVxGuPCgaxLsbtWe3uPte,3,122.0,,
Amy Jor,5xGjRTAS44p3iL8rjKhBbf,0,64.0,,
Ananaki,7jgV4nPzQL4ojNdHyAivoR,1,390.0,,
Andre Nickatina And Equipto,3WZhOX9lbeUUagirRi1RQW,0,421.0,,
Andrea Frisina,1SZuKU6T5rqQBsKVGo2aqn,6,365.0,,
Andy Bros,0IqCqFDl6mgrx51AsrTxBj,20,6508.0,,
Andy Fairweather Low,0lZmP91eT6v4c9N9eoMmJD,30,3943.0,classic uk pop,
Anfisa Letyago,7icoOm5fKKPo49jVxoj1Cq,41,90490.0,,
Anish Kumar,4pSMnAlD8JVEW3eZDuaQH8,42,12615.0,,
Apkush,3QOiECZRT2DKvDuGe8U419,0,22.0,,
Archila,3XAGebwIZIMFUt0ZgnXOwh,30,967.0,,
Arlette Leduc,3LyPSzNbQ3R4cgHZDUP06T,43,2755.0,,
Aron Magner,2yhPnHMNXni3mo7407T4Tn,0,515.0,,
