old_track_uri,new_track_uri
spotify:track:0gHUBpmdPtcLYUnYDiQ0y0,spotify:track:3mSwwZHjwKp6wTEXhSLOcZ
spotify:track:3mSwwZHjwKp6wTEXhSLOcZ,spotify:track:3mSwwZHjwKp6wTEXhSLOcZ
spotify:track:6zzpL7NdRWJ7NVoPkQkAVA,spotify:track:2bZn4SjWRkVWojpBFe5oxL
spotify:track:2bZn4SjWRkVWojpBFe5oxL,spotify:track:2bZn4SjWRkVWojpBFe5oxL
spotify:track:0lsALdDMLiAidDDwqkvKYX,spotify:track:5ZkDV9fV7YZ5jhMnPfvP0k
spotify:track:5ZkDV9fV7YZ5jhMnPfvP0k,spotify:track:5ZkDV9fV7YZ5jhMnPfvP0k
spotify:track:1HDzXOAexIEUQ1O1riO7Gr,spotify:track:2gYnCbFMvz1kpvhrxWReO6
spotify:track:2gYnCbFMvz1kpvhrxWReO6,spotify:track:2gYnCbFMvz1kpvhrxWReO6
spotify:track:1Em8DypMuYDjZgWJrlzE8U,spotify:track:5iy95BFAO8PxMZP3twNy96
spotify:track:5iy95BFAO8PxMZP3twNy96,spotify:track:5iy95BFAO8PxMZP3twNy96
spotify:track:5JuOjj6HZO1619LMpHwG8U,spotify:track:1TYbEnYfW4jk0CrzrqjBB4
spotify:track:1TYbEnYfW4jk0CrzrqjBB4,spotify:track:1TYbEnYfW4jk0CrzrqjBB4
spotify:track:5TeJDgTXvQhO9hYwAdXzC1,spotify:track:3SaLdkEed0R6pM1flxGY99
spotify:track:3SaLdkEed0R6pM1flxGY99,spotify:track:3SaLdkEed0R6pM1flxGY99
spotify:track:3LKis9Wx1BtM3YtTsv5XQk,spotify:track:5B4RzgnBLi7BU1CLQ4j0Nw
spotify:track:5B4RzgnBLi7BU1CLQ4j0Nw,spotify:track:5B4RzgnBLi7BU1CLQ4j0Nw
spotify:track:4HuoyfOOkRUCtUfj3UtVx9,spotify:track:6mNTajJMhJDX3os4LrdktQ
spotify:track:4BPzsGftooMOsfK0uLpFEP,spotify:track:6mNTajJMhJDX3os4LrdktQ
spotify:track:6mNTajJMhJDX3os4LrdktQ,spotify:track:6mNTajJMhJDX3os4LrdktQ
